label,occurrences,file_count,types
SOCIAL SECURITY NUMBER,13,12,F:9|C:2|N:2
RESERVED,13,10,F:9|S:4
REGION,13,13,N:9|P:2|F:2
PHONE,13,12,F:12|C:1
TAG,13,13,M:1|N:1|F:9|A:2
ERROR MESSAGE,13,13,F:10|M:2|P:1
LONG DESCRIPTION,13,13,M:8|F:5
MESSAGE ID,13,13,F:12|N:1
FACILITY NUMBER,13,12,F:12|P:1
FISCAL YEAR,13,13,D:2|N:2|M:1|F:6|A:1|4:1
HOSPITAL LOCATION,13,13,P:11|F:1|C:1
COUNTRY CODE,13,13,F:12|P:1
PATIENT ID,13,13,P:3|F:9|C:1
CASE NUMBER,13,13,N:5|F:8
MODALITY,13,13,P:3|S:1|F:8|A:1
AGENT ORANGE LOCATION,13,13,F:9|S:4
AUDIT TRAIL,13,13,D:1|F:12
AGE,12,12,C:8|N:4
DEVICE,12,12,P:10|F:2
FIELD,12,12,N:4|F:4|1:2|6:1|A:1
SPECIALTY,12,12,P:8|F:4
ORDER NUMBER,12,12,N:2|A:1|F:4|P:5
START TIME,12,12,N:1|F:3|D:8
PATIENT DIVISION,12,12,P:1|F:11
PROTOCOL,12,12,P:5|S:2|F:5
ACCESSION NUMBER,12,12,F:11|A:1
GROUP,12,11,S:2|N:1|P:6|F:3
PLACEHOLD PRIMARY CARE TEAM,12,12,F:9|P:3
USER ENROLLEE,12,12,S:10|F:2
CV STATUS ELIGIBILITY,12,12,S:11|F:1
ERROR,11,11,P:3|F:6|N:2
RESULT,11,11,S:6|V:1|F:1|N:1|C:2
MNEMONIC,11,11,M:1|F:10
DOMAIN,11,11,P:7|F:4
SENDER,11,11,F:4|P:7
ZIP,11,11,F:10|C:1
NOTES,11,11,M:7|F:3|D:1
TASK NUMBER,11,11,F:1|N:10
PORT,11,11,N:10|M:1
SERVICE CONNECTED,11,11,S:10|F:1
UNITS,11,11,P:5|S:1|N:2|F:3
VOLUME,11,11,F:1|N:10
REQUESTOR,11,11,P:9|F:1|C:1
AMOUNT,11,11,N:8|F:1|A:2
FUND,11,11,F:8|P:3
INSURANCE COMPANY,11,11,P:10|F:1
EMPLOYEE,11,11,P:10|F:1
HCPCS,11,11,P:3|F:8
FIELD NUMBER,10,10,F:4|N:6
RACE,10,10,P:3|F:3|S:2|C:2
ZIP+4,10,10,F:9|C:1
DOMAIN NAME,10,10,P:5|F:5
ONE,10,10,N:8|F:2
EVENT,10,10,P:3|S:2|D:2|F:3
