file_number,label,global_root,candidate_package,candidate_prefix,method,confidence,notes
363.33,BILLING REVENUE CODE LINKS,"^IBE(363.33,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
363.34,BILLING PROVIDER DISCOUNT,"^IBE(363.34,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
364.0,EDI TRANSMIT BILL,"^IBA(364,",INTEGRATED BILLING,IB,prefix,med,ns=IBA matched prefix=IB
364.1,EDI TRANSMISSION BATCH,"^IBA(364.1,",INTEGRATED BILLING,IB,prefix,med,ns=IBA matched prefix=IB
364.2,EDI MESSAGES,"^IBA(364.2,",INTEGRATED BILLING,IB,prefix,med,ns=IBA matched prefix=IB
364.3,IB MESSAGE ROUTER,"^IBE(364.3,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
364.4,IB EDI TRANSMISSION RULE,"^IBE(364.4,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
364.5,IB DATA ELEMENT DEFINITION,"^IBA(364.5,",INTEGRATED BILLING,IB,prefix,med,ns=IBA matched prefix=IB
364.6,IB FORM SKELETON DEFINITION,"^IBA(364.6,",INTEGRATED BILLING,IB,prefix,med,ns=IBA matched prefix=IB
364.7,IB FORM FIELD CONTENT,"^IBA(364.7,",INTEGRATED BILLING,IB,prefix,med,ns=IBA matched prefix=IB
364.8,PAYER ID - COB SWITCH,"^IBA(364.8,",INTEGRATED BILLING,IB,prefix,med,ns=IBA matched prefix=IB
365.0,IIV RESPONSE,"^IBCN(365,",INTEGRATED BILLING,IB,prefix,med,ns=IBCN matched prefix=IB
365.011,X12 271 ELIGIBILITY/BENEFIT,"^IBE(365.011,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
365.012,X12 271 COVERAGE LEVEL,"^IBE(365.012,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
365.013,X12 271 SERVICE TYPE,"^IBE(365.013,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
365.014,X12 271 INSURANCE TYPE,"^IBE(365.014,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
365.015,X12 271 TIME PERIOD QUALIFIER,"^IBE(365.015,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
365.016,X12 271 QUANTITY QUALIFIER,"^IBE(365.016,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
365.017,X12 271 ERROR CONDITION,"^IBE(365.017,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
365.018,X12 271 ERROR ACTION,"^IBE(365.018,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
365.021,X12 271 CONTACT QUALIFIER,"^IBE(365.021,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
365.022,X12 271 ENTITY IDENTIFIER CODE,"^IBE(365.022,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
365.023,X12 271 IDENTIFICATION QUALIFIER,"^IBE(365.023,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
365.024,X12 271 PROVIDER CODE,"^IBE(365.024,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
365.025,X12 271 DELIVERY FREQUENCY CODE,"^IBE(365.025,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
365.026,X12 271 DATE QUALIFIER,"^IBE(365.026,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
365.027,X12 271 LOOP ID,"^IBE(365.027,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
365.028,X12 271 REFERENCE IDENTIFICATION,"^IBE(365.028,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
365.029,X12 271 UNITS OF MEASUREMENT,"^IBE(365.029,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
365.031,X12 271 ENTITY RELATIONSHIP CODE,"^IBE(365.031,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
365.032,X12 271 DATE FORMAT QUALIFIER,"^IBE(365.032,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
365.033,X12 271 YES/NO RESPONSE CODE ,"^IBE(365.033,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
365.034,X12 271 LOCATION QUALIFER,"^IBE(365.034,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
365.035,X12 271 PROCEDURE CODING METHOD,"^IBE(365.035,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
365.036,X12 271 DELIVERY PATTERN,"^IBE(365.036,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
365.037,X12 271 PATIENT RELATIONSHIP,"^IBE(365.037,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
365.038,X12 271 INJURY CATEGORY,"^IBE(365.038,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
365.039,X12 271 MILITARY PERSONNEL INFO STATUS CODE,"^IBE(365.039,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
365.041,X12 271 MILITARY GOVT SERVICE AFFILIATION,"^IBE(365.041,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
365.042,X12 271 MILITARY SERVICE RANK,"^IBE(365.042,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
365.043,X12 271 ENTITY TYPE QUALIFIER,"^IBE(365.043,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
365.044,X12 271 CODE LIST QUALIFIER,"^IBE(365.044,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
365.045,X12 271 NATURE OF INJURY CODES,"^IBE(365.045,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
365.046,X12 271 MILITARY EMPLOYMENT STATUS CODE,"^IBE(365.046,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
365.1,IIV TRANSMISSION QUEUE,"^IBCN(365.1,",INTEGRATED BILLING,IB,prefix,med,ns=IBCN matched prefix=IB
365.11,IIV AUTO MATCH,"^IBCN(365.11,",INTEGRATED BILLING,IB,prefix,med,ns=IBCN matched prefix=IB
365.12,PAYER,"^IBE(365.12,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
365.13,PAYER APPLICATION,"^IBE(365.13,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
365.14,IIV TRANSMISSION STATUS,"^IBE(365.14,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
365.15,IIV STATUS TABLE,"^IBE(365.15,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
365.18,EIV EICD TRACKING,"^IBCN(365.18,",INTEGRATED BILLING,IB,prefix,med,ns=IBCN matched prefix=IB
365.19,INTERFACILITY INSURANCE UPDATE,"^IBCN(365.19,",INTEGRATED BILLING,IB,prefix,med,ns=IBCN matched prefix=IB
365.2,IIV RESPONSE REVIEW,"^IBCN(365.2,",INTEGRATED BILLING,IB,prefix,med,ns=IBCN matched prefix=IB
365.3,EIV E1 TRANSACTION RESPONSE LOG,"^IBCN(365.3,",INTEGRATED BILLING,IB,prefix,med,ns=IBCN matched prefix=IB
366.01,NCPDP PROCESSOR,"^IBCNR(366.01,",INTEGRATED BILLING,IB,prefix,med,ns=IBCNR matched prefix=IB
366.02,PHARMACY BENEFITS MANAGER (PBM),"^IBCNR(366.02,",INTEGRATED BILLING,IB,prefix,med,ns=IBCNR matched prefix=IB
366.03,PLAN,"^IBCNR(366.03,",INTEGRATED BILLING,IB,prefix,med,ns=IBCNR matched prefix=IB
366.11,NCPDP PROCESSOR APPLICATION,"^IBCNR(366.11,",INTEGRATED BILLING,IB,prefix,med,ns=IBCNR matched prefix=IB
366.12,PHARMACY BENEFITS MANAGER (PBM) APPLICATION,"^IBCNR(366.12,",INTEGRATED BILLING,IB,prefix,med,ns=IBCNR matched prefix=IB
366.13,PLAN APPLICATION,"^IBCNR(366.13,",INTEGRATED BILLING,IB,prefix,med,ns=IBCNR matched prefix=IB
366.14,IB NCPDP EVENT LOG,"^IBCNR(366.14,",INTEGRATED BILLING,IB,prefix,med,ns=IBCNR matched prefix=IB
366.15,IB NCPDP PRESCRIPTION,"^IBCNR(366.15,",INTEGRATED BILLING,IB,prefix,med,ns=IBCNR matched prefix=IB
366.17,IB NCPDP NON-BILLABLE REASONS,"^IBCNR(366.17,",INTEGRATED BILLING,IB,prefix,med,ns=IBCNR matched prefix=IB
367.0,HPID/OEID RESPONSE,"^IBCNH(367,",INTEGRATED BILLING,IB,prefix,med,ns=IBCNH matched prefix=IB
367.1,HPID/OEID TRANSMISSION QUEUE,"^IBCNH(367.1,",INTEGRATED BILLING,IB,prefix,med,ns=IBCNH matched prefix=IB
367.11,INSURANCE COMPANY ID TYPE,"^IBE(367.11,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
368.0,HEALTH CARE CLAIM RFAI (277),"^IBA(368,",INTEGRATED BILLING,IB,prefix,med,ns=IBA matched prefix=IB
368.001,X12 277 CLAIM STATUS CATEGORY,"^IBE(368.001,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
368.002,X12 277 PRODUCT OR SERVICE ID QUAL,"^IBE(368.002,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
372.0,PFSS SITE PARAMETERS,"^IBBAS(372,",INTEGRATED BILLING,IB,prefix,med,ns=IBBAS matched prefix=IB
373.0,PFSS CHARGE CACHE,"^IBBAD(373,",INTEGRATED BILLING,IB,prefix,med,ns=IBBAD matched prefix=IB
375.0,PFSS ACCOUNT,"^IBBAA(375,",INTEGRATED BILLING,IB,prefix,med,ns=IBBAA matched prefix=IB
390.0,ENROLLMENT RATED DISABILITY UPLOAD AUDIT,"^DGRDUA(390,",REGISTRATION,DG,prefix,med,ns=DGRDUA matched prefix=DG
390.01,MHV SOCIALIZATION,"^DGMHV(390.01,",REGISTRATION,DG,prefix,med,ns=DGMHV matched prefix=DG
390.02,MHV SOCIALIZATION ACTIONS,"^DGMHV(390.02,",REGISTRATION,DG,prefix,med,ns=DGMHV matched prefix=DG
390.03,MHV DECLINED REASONS,"^DGMHV(390.03,",REGISTRATION,DG,prefix,med,ns=DGMHV matched prefix=DG
390.04,MHV ACTION SELECTION,"^DGMHV(390.04,",REGISTRATION,DG,prefix,med,ns=DGMHV matched prefix=DG
390.1,MARITAL/RELIGION CONVERSION,"^XTMP(""DGTMP"",390.1,",TOOLKIT,XT,prefix,med,ns=XTMP matched prefix=XT
390.2,MARITAL/RELIGION MAPPING,"^XTMP(""DGTMP"",390.2,",TOOLKIT,XT,prefix,med,ns=XTMP matched prefix=XT
391.23,DG REGISTER ONCE FIELD DEFINITION,"^DGRO(391.23,",REGISTRATION,DG,prefix,med,ns=DGRO matched prefix=DG
391.31,HOME TELEHEALTH PATIENT,"^DGHT(391.31,",REGISTRATION,DG,prefix,med,ns=DGHT matched prefix=DG
391.71,ADT/HL7 PIVOT,"^VAT(391.71,",VETERANS ADMINISTRATION,VA,prefix,med,ns=VAT matched prefix=VA
391.72,ADT/HL7 EVENT REASON,"^VAT(391.72,",VETERANS ADMINISTRATION,VA,prefix,med,ns=VAT matched prefix=VA
391.91,TREATING FACILITY LIST,"^DGCN(391.91,",REGISTRATION,DG,prefix,med,ns=DGCN matched prefix=DG
391.919,EHRM MIGRATED FACILITIES,"^DGCN(391.919,",REGISTRATION,DG,prefix,med,ns=DGCN matched prefix=DG
391.92,NEW PERSON TREATING FACILITY LIST,"^DGCN(391.92,",REGISTRATION,DG,prefix,med,ns=DGCN matched prefix=DG
391.98,PATIENT DATA EXCEPTION,"^DGCN(391.98,",REGISTRATION,DG,prefix,med,ns=DGCN matched prefix=DG
391.984,EXCEPTION STATUS,"^DGCN(391.984,",REGISTRATION,DG,prefix,med,ns=DGCN matched prefix=DG
391.99,PATIENT DATA ELEMENT,"^DGCN(391.99,",REGISTRATION,DG,prefix,med,ns=DGCN matched prefix=DG
392.41,BT CLAIM ELIGIBILITY CODE,"^DGBT(392.41,",BENEFICIARY TRAVEL,DGBT,prefix,high,ns=DGBT matched prefix=DGBT
392.42,BT SPECIAL MODE OF TRANSPORTATION,"^DGBT(392.42,",BENEFICIARY TRAVEL,DGBT,prefix,high,ns=DGBT matched prefix=DGBT
392.43,BT COMMON CARRIER MODE OF TRANSPORTATION,"^DGBT(392.43,",BENEFICIARY TRAVEL,DGBT,prefix,high,ns=DGBT matched prefix=DGBT
392.51,BENEFICIARY TRAVEL DASHBOARD AUDIT,"^DGBT(392.51,",BENEFICIARY TRAVEL,DGBT,prefix,high,ns=DGBT matched prefix=DGBT
392.6,BENEFICIARY TRAVEL DENIAL LETTERS,"^DGBT(392.6,",BENEFICIARY TRAVEL,DGBT,prefix,high,ns=DGBT matched prefix=DGBT
392.7,BENEFICIARY TRAVEL MANUAL DEDUCTIBLE WAIVER,"^DGBT(392.7,",BENEFICIARY TRAVEL,DGBT,prefix,high,ns=DGBT matched prefix=DGBT
392.8,BENEFICIARY TRAVEL DENIAL REASONS,"^DGBT(392.8,",BENEFICIARY TRAVEL,DGBT,prefix,high,ns=DGBT matched prefix=DGBT
392.9,BT PATIENT ALTERNATE INCOME,"^DGBT(392.9,",BENEFICIARY TRAVEL,DGBT,prefix,high,ns=DGBT matched prefix=DGBT
396.15,CAPRI DIVISION EXAM LIST,"^DVB(396.15,",HINQ,DVB,prefix,high,ns=DVB matched prefix=DVB
396.17,CAPRI TEMPLATES,"^DVB(396.17,",HINQ,DVB,prefix,high,ns=DVB matched prefix=DVB
396.18,CAPRI TEMPLATE DEFINITIONS,"^DVB(396.18,",HINQ,DVB,prefix,high,ns=DVB matched prefix=DVB
396.195,CAPRI REROUTE SITE,"^DVB(396.195,",HINQ,DVB,prefix,high,ns=DVB matched prefix=DVB
396.21,CAPRI CLINICAL EFOLDER TRANSMISSIONS,"^DVB(396.21,",HINQ,DVB,prefix,high,ns=DVB matched prefix=DVB
396.25,2507 SPECIAL CONSIDERATIONS,"^DVB(396.25,",HINQ,DVB,prefix,high,ns=DVB matched prefix=DVB
396.27,2507 CLAIM TYPE,"^DVB(396.27,",HINQ,DVB,prefix,high,ns=DVB matched prefix=DVB
396.33,2507 STATUS,"^DVB(396.33,",HINQ,DVB,prefix,high,ns=DVB matched prefix=DVB
396.45,2507 EXAM CONTRACTORS,"^DVB(396.45,",HINQ,DVB,prefix,high,ns=DVB matched prefix=DVB
396.55,2507 REROUTE CODE,"^DVB(396.55,",HINQ,DVB,prefix,high,ns=DVB matched prefix=DVB
396.9,FORM 28-8861,"^DVB(396.9,",HINQ,DVB,prefix,high,ns=DVB matched prefix=DVB
396.918,MEDICAL SERVICES REQUESTED,"^DVB(396.918,",HINQ,DVB,prefix,high,ns=DVB matched prefix=DVB
399.6,CMN FORM TYPES,"^IBE(399.6,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
401.0,PAID EXTRACT,"^PRCM(401,",IFCAP,PRC,prefix,med,ns=PRCM matched prefix=PRC
403.35,SCHEDULING USER PREFERENCE,"^SCRS(403.35,",,,,,
403.43,SCHEDULING EVENT,"^SD(403.43,",SCHEDULING,SD,prefix,high,ns=SD matched prefix=SD
403.44,SCHEDULING REASON,"^SD(403.44,",SCHEDULING,SD,prefix,high,ns=SD matched prefix=SD
403.46,STANDARD POSITION,"^SD(403.46,",SCHEDULING,SD,prefix,high,ns=SD matched prefix=SD
403.47,TEAM PURPOSE,"^SD(403.47,",SCHEDULING,SD,prefix,high,ns=SD matched prefix=SD
403.5,RECALL REMINDERS,"^SD(403.5,",SCHEDULING,SD,prefix,high,ns=SD matched prefix=SD
403.51,RECALL REMINDERS APPT TYPE,"^SD(403.51,",SCHEDULING,SD,prefix,high,ns=SD matched prefix=SD
403.52,RECALL REMINDERS LETTERS,"^SD(403.52,",SCHEDULING,SD,prefix,high,ns=SD matched prefix=SD
403.53,RECALL REMINDERS PARAMETERS,"^SD(403.53,",SCHEDULING,SD,prefix,high,ns=SD matched prefix=SD
403.54,RECALL REMINDERS PROVIDERS,"^SD(403.54,",SCHEDULING,SD,prefix,high,ns=SD matched prefix=SD
403.55,RECALL REMINDERS TEAM,"^SD(403.55,",SCHEDULING,SD,prefix,high,ns=SD matched prefix=SD
403.56,RECALL REMINDERS REMOVED,"^SD(403.56,",SCHEDULING,SD,prefix,high,ns=SD matched prefix=SD
404.41,OUTPATIENT PROFILE,"^SCPT(404.41,",,,,,
404.42,PATIENT TEAM ASSIGNMENT,"^SCPT(404.42,",,,,,
404.43,PATIENT TEAM POSITION ASSIGNMENT,"^SCPT(404.43,",,,,,
404.44,PCMM PARAMETER,"^SCTM(404.44,",,,,,
404.45,PCMM SERVER PATCH,"^SCTM(404.45,",,,,,
404.46,PCMM CLIENT PATCH,"^SCTM(404.46,",,,,,
404.471,PCMM HL7 TRANSMISSION LOG,"^SCPT(404.471,",,,,,
404.472,PCMM HL7 ERROR CODE,"^SCPT(404.472,",,,,,
404.48,PCMM HL7 EVENT,"^SCPT(404.48,",,,,,
404.49,PCMM HL7 ID,"^SCPT(404.49,",,,,,
404.52,POSITION ASSIGNMENT HISTORY,"^SCTM(404.52,",,,,,
404.53,PRECEPTOR ASSIGNMENT HISTORY,"^SCTM(404.53,",,,,,
404.54,PCMM PATIENT EVENTS,"^SCPT(404.54,",,,,,
404.56,TEAM AUTOLINK,"^SCTM(404.56,",,,,,
404.57,TEAM POSITION,"^SCTM(404.57,",,,,,
404.58,TEAM HISTORY,"^SCTM(404.58,",,,,,
404.59,TEAM POSITION HISTORY,"^SCTM(404.59,",,,,,
404.61,MH PCMM STOP CODES,"^SCTM(404.61,",,,,,
404.91,SCHEDULING PARAMETER,"^SD(404.91,",SCHEDULING,SD,prefix,high,ns=SD matched prefix=SD
404.92,SCHEDULING REPORT DEFINITION,"^SD(404.92,",SCHEDULING,SD,prefix,high,ns=SD matched prefix=SD
404.93,SCHEDULING REPORT FIELDS DEFINITION,"^SD(404.93,",SCHEDULING,SD,prefix,high,ns=SD matched prefix=SD
404.94,SCHEDULING REPORT GROUP,"^SD(404.94,",SCHEDULING,SD,prefix,high,ns=SD matched prefix=SD
404.95,SCHEDULING REPORT QUERY TEMPLATE,"^SD(404.95,",SCHEDULING,SD,prefix,high,ns=SD matched prefix=SD
404.98,SCHEDULING CONVERSION SPECIFICATION TEMPLATE,"^SD(404.98,",SCHEDULING,SD,prefix,high,ns=SD matched prefix=SD
408.43,PATIENT REGISTRATION ONLY REASON,"^DG(408.43,",REGISTRATION,DG,prefix,high,ns=DG matched prefix=DG
409.31,SD WL SERVICE/SPECIALTY,"^SDWL(409.31,",SCHEDULING,SD,prefix,med,ns=SDWL matched prefix=SD
409.32,SD WL CLINIC LOCATION,"^SDWL(409.32,",SCHEDULING,SD,prefix,med,ns=SDWL matched prefix=SD
409.35,SDWL TRANSFER REQUEST,"^SDWL(409.35,",SCHEDULING,SD,prefix,med,ns=SDWL matched prefix=SD
409.36,SDWL TRANSFER ACCEPT,"^SDWL(409.36,",SCHEDULING,SD,prefix,med,ns=SDWL matched prefix=SD
409.39,EWL CLEAN-UP,"^SDWL(409.39,",SCHEDULING,SD,prefix,med,ns=SDWL matched prefix=SD
409.48,SDSC SERVICE CONNECTED CHANGES,"^SDSC(409.48,",SCHEDULING,SD,prefix,med,ns=SDSC matched prefix=SD
409.55,APPOINTMENT PFSS ACCOUNT REFERENCE,"^SD(409.55,",SCHEDULING,SD,prefix,high,ns=SD matched prefix=SD
409.6,PATIENT APPOINTMENT INFO LOG,"^SDWL(409.6,",SCHEDULING,SD,prefix,med,ns=SDWL matched prefix=SD
409.64,QUERY OBJECT,"^SD(409.64,",SCHEDULING,SD,prefix,high,ns=SD matched prefix=SD
409.67,CLINIC GROUP,"^SD(409.67,",SCHEDULING,SD,prefix,high,ns=SD matched prefix=SD
409.68,OUTPATIENT ENCOUNTER,^SCE(,,,,,
409.73,TRANSMITTED OUTPATIENT ENCOUNTER,"^SD(409.73,",SCHEDULING,SD,prefix,high,ns=SD matched prefix=SD
409.74,DELETED OUTPATIENT ENCOUNTER,"^SD(409.74,",SCHEDULING,SD,prefix,high,ns=SD matched prefix=SD
409.75,TRANSMITTED OUTPATIENT ENCOUNTER ERROR,"^SD(409.75,",SCHEDULING,SD,prefix,high,ns=SD matched prefix=SD
409.76,TRANSMITTED OUTPATIENT ENCOUNTER ERROR CODE,"^SD(409.76,",SCHEDULING,SD,prefix,high,ns=SD matched prefix=SD
409.77,ACRP TRANSMISSION HISTORY,"^SD(409.77,",SCHEDULING,SD,prefix,high,ns=SD matched prefix=SD
409.822,SDEC ACCESS GROUP,"^SDEC(409.822,",SCHEDULING,SD,prefix,med,ns=SDEC matched prefix=SD
409.823,SDEC ACCESS TYPE,"^SDEC(409.823,",SCHEDULING,SD,prefix,med,ns=SDEC matched prefix=SD
409.824,SDEC ACCESS GROUP TYPE,"^SDEC(409.824,",SCHEDULING,SD,prefix,med,ns=SDEC matched prefix=SD
409.831,SDEC RESOURCE,"^SDEC(409.831,",SCHEDULING,SD,prefix,med,ns=SDEC matched prefix=SD
409.832,SDEC RESOURCE GROUP,"^SDEC(409.832,",SCHEDULING,SD,prefix,med,ns=SDEC matched prefix=SD
409.833,SDEC RESOURCE USER,"^SDEC(409.833,",SCHEDULING,SD,prefix,med,ns=SDEC matched prefix=SD
409.834,SDEC ADDITIONAL RESOURCE,"^SDEC(409.834,",SCHEDULING,SD,prefix,med,ns=SDEC matched prefix=SD
409.84,SDEC APPOINTMENT,"^SDEC(409.84,",SCHEDULING,SD,prefix,med,ns=SDEC matched prefix=SD
409.842,SDEC CHECK-IN STEP STATUS,"^SDEC(409.842,",SCHEDULING,SD,prefix,med,ns=SDEC matched prefix=SD
409.845,SDEC PREFERENCES AND SPECIAL NEEDS,"^SDEC(409.845,",SCHEDULING,SD,prefix,med,ns=SDEC matched prefix=SD
409.85,SDEC APPT REQUEST,"^SDEC(409.85,",SCHEDULING,SD,prefix,med,ns=SDEC matched prefix=SD
409.853,SDEC DISPOSITION REASON,"^SDEC(409.853,",SCHEDULING,SD,prefix,med,ns=SDEC matched prefix=SD
409.86,SDEC CONTACT,"^SDEC(409.86,",SCHEDULING,SD,prefix,med,ns=SDEC matched prefix=SD
409.87,SDEC CONSULT PID HISTORY,"^SDEC(409.87,",SCHEDULING,SD,prefix,med,ns=SDEC matched prefix=SD
409.88,SDEC CANCELLATION COMMENT,"^SDEC(409.88,",SCHEDULING,SD,prefix,med,ns=SDEC matched prefix=SD
409.89,SDEC STOP CODE,"^SDEC(409.89,",SCHEDULING,SD,prefix,med,ns=SDEC matched prefix=SD
409.91,ACRP REPORT TEMPLATE,"^SDD(409.91,",SCHEDULING,SD,prefix,med,ns=SDD matched prefix=SD
409.92,ACRP REPORT TEMPLATE PARAMETER,"^SD(409.92,",SCHEDULING,SD,prefix,high,ns=SD matched prefix=SD
409.93,SDES ERROR CODES,"^SDEC(409.93,",SCHEDULING,SD,prefix,med,ns=SDEC matched prefix=SD
409.94,SDEC SUBSPECIALTY,"^SDEC(409.94,",SCHEDULING,SD,prefix,med,ns=SDEC matched prefix=SD
409.97,SD Audit Statistics,^SDAUDIT(,SCHEDULING,SD,prefix,med,ns=SDAUDIT matched prefix=SD
409.98,SDEC SETTINGS,"^SDEC(409.98,",SCHEDULING,SD,prefix,med,ns=SDEC matched prefix=SD
410.9,AUTHORITY OF REQUEST,"^PRCS(410.9,",IFCAP,PRC,prefix,med,ns=PRCS matched prefix=PRC
411.5,IFCAP PARAMETERS,"^PRC(411.5,",IFCAP,PRC,prefix,high,ns=PRC matched prefix=PRC
413.0,EQUIPMENT REQUEST,"^PRCN(413,",EQUIPMENT/TURN-IN REQUIEST,PRCN,prefix,high,ns=PRCN matched prefix=PRCN
413.1,TURN-IN REQUEST,"^PRCN(413.1,",EQUIPMENT/TURN-IN REQUIEST,PRCN,prefix,high,ns=PRCN matched prefix=PRCN
413.2,EQUIPMENT COMMITTEE,"^PRCN(413.2,",EQUIPMENT/TURN-IN REQUIEST,PRCN,prefix,high,ns=PRCN matched prefix=PRCN
413.3,CONCURRING OFFICIALS,"^PRCN(413.3,",EQUIPMENT/TURN-IN REQUIEST,PRCN,prefix,high,ns=PRCN matched prefix=PRCN
413.4,SPECIAL HANDLING CODES,"^PRCN(413.4,",EQUIPMENT/TURN-IN REQUIEST,PRCN,prefix,high,ns=PRCN matched prefix=PRCN
413.5,NX STATUS,"^PRCN(413.5,",EQUIPMENT/TURN-IN REQUIEST,PRCN,prefix,high,ns=PRCN matched prefix=PRCN
413.7,COUNTER,"^PRCN(413.7,",EQUIPMENT/TURN-IN REQUIEST,PRCN,prefix,high,ns=PRCN matched prefix=PRCN
414.02,DYNAMED IFCAP INTERFACE AUDIT,"^PRCV(414.02,",IFCAP,PRC,prefix,med,ns=PRCV matched prefix=PRC
414.03,COTS INVENTORY SUBSCRIPTION CONTROL,"^PRCV(414.03,",IFCAP,PRC,prefix,med,ns=PRCV matched prefix=PRC
414.04,RECORD CHECKSUM,"^PRCV(414.04,",IFCAP,PRC,prefix,med,ns=PRCV matched prefix=PRC
414.06,IFCAP/ECMS TRANSACTION,"^PRCV(414.06,",IFCAP,PRC,prefix,med,ns=PRCV matched prefix=PRC
414.07,IFCAP/ECMS EVENT TYPE,"^PRCV(414.07,",IFCAP,PRC,prefix,med,ns=PRCV matched prefix=PRC
420.51,REASON NOT COMPETED,"^PRCD(420.51,",IFCAP,PRC,prefix,med,ns=PRCD matched prefix=PRC
420.52,SOLICITATION PROCEDURE,"^PRCD(420.52,",IFCAP,PRC,prefix,med,ns=PRCD matched prefix=PRC
420.53,EXTENT COMPETED,"^PRCD(420.53,",IFCAP,PRC,prefix,med,ns=PRCD matched prefix=PRC
420.54,EVALUATED PREFERENCE,"^PRCD(420.54,",IFCAP,PRC,prefix,med,ns=PRCD matched prefix=PRC
420.55,EPA DESIGNATED PRODUCT,"^PRCD(420.55,",IFCAP,PRC,prefix,med,ns=PRCD matched prefix=PRC
430.5,AR RETURN REASON CODE,"^PRCA(430.5,",ACCOUNTS RECEIVABLE,PRCA,prefix,high,ns=PRCA matched prefix=PRCA
430.7,AR DEBT COLLECTOR DATA,"^PRCA(430.7,",ACCOUNTS RECEIVABLE,PRCA,prefix,high,ns=PRCA matched prefix=PRCA
433.001,AR SUSPENSION TYPES,"^PRCA(433.001,",ACCOUNTS RECEIVABLE,PRCA,prefix,high,ns=PRCA matched prefix=PRCA
436.1,AR MEDICARE DEDUCTIBLE ALERTS PART A,"^PRCA(436.1,",ACCOUNTS RECEIVABLE,PRCA,prefix,high,ns=PRCA matched prefix=PRCA
440.4,MANUFACTURER,"^PRC(440.4,",IFCAP,PRC,prefix,high,ns=PRC matched prefix=PRC
440.45,SOURCE MFG/STOCK NUMBER,"^PRC(440.45,",IFCAP,PRC,prefix,high,ns=PRC matched prefix=PRC
440.5,PURCHASE CARD INFORMATION,"^PRC(440.5,",IFCAP,PRC,prefix,high,ns=PRC matched prefix=PRC
440.6,PURCHASE CARD ORDER RECONCILE,"^PRCH(440.6,",IFCAP,PRC,prefix,med,ns=PRCH matched prefix=PRC
440.7,MONTHLY ACCRUAL,"^PRCH(440.7,",IFCAP,PRC,prefix,med,ns=PRCH matched prefix=PRC
440.8,PRCH AFC CHARGE TRANSMISSION LOG,"^PRCH(440.8,",IFCAP,PRC,prefix,med,ns=PRCH matched prefix=PRC
