file_number,label,global_root,candidate_package,candidate_prefix,method,confidence,notes
169.3,ICD-O-3 MORPHOLOGY,"^ONCO(169.3,",ONCOLOGY,ONC,prefix,med,ns=ONCO matched prefix=ONC
183.0,CRHD HANDOFF PARAMETERS,"^CRHD(183,",SHIFT CHANGE HANDOFF TOOL,CRHD,prefix,high,ns=CRHD matched prefix=CRHD
183.2,CRHD TEMPORARY DATA,"^CRHD(183.2,",SHIFT CHANGE HANDOFF TOOL,CRHD,prefix,high,ns=CRHD matched prefix=CRHD
183.3,CRHD HOT TEAM PATIENT LIST,"^CRHD(183.3,",SHIFT CHANGE HANDOFF TOOL,CRHD,prefix,high,ns=CRHD matched prefix=CRHD
183.4,CRHD TEAM CONTACT LIST,"^CRHD(183.4,",SHIFT CHANGE HANDOFF TOOL,CRHD,prefix,high,ns=CRHD matched prefix=CRHD
201.0,USER CLASS,"^VA(201,",VETERANS ADMINISTRATION,VA,prefix,high,ns=VA matched prefix=VA
212.7,NURS PRODUCT LINE,"^NURSF(212.7,",NURSING SERVICE,NUR,prefix,med,ns=NURSF matched prefix=NUR
212.8,VANOD UNIT TYPES,"^NURSF(212.8,",NURSING SERVICE,NUR,prefix,med,ns=NURSF matched prefix=NUR
220.1,DENTAL TOOTH STATUS CODE,"^DIC(220.1,",VA FILEMAN,DI,prefix,med,ns=DIC matched prefix=DI
220.51,DENTAL PROVIDER TYPE,"^DENT(220.51,",DENTAL,DENT,prefix,high,ns=DENT matched prefix=DENT
220.52,DENTAL PROVIDER SPECIALTY,"^DENT(220.52,",DENTAL,DENT,prefix,high,ns=DENT matched prefix=DENT
227.0,DENTAL CANNED COMMENTS,"^DENT(227,",DENTAL,DENT,prefix,high,ns=DENT matched prefix=DENT
228.0,DENTAL CPT CODE MAPPING,"^DENT(228,",DENTAL,DENT,prefix,high,ns=DENT matched prefix=DENT
228.1,DENTAL HISTORY,"^DENT(228.1,",DENTAL,DENT,prefix,high,ns=DENT matched prefix=DENT
228.2,TREATMENT PLAN TRANSACTION/EXAM,"^DENT(228.2,",DENTAL,DENT,prefix,high,ns=DENT matched prefix=DENT
228.25,DES/HL7 TRANSMISSION,"^DENT(228.25,",DENTAL,DENT,prefix,high,ns=DENT matched prefix=DENT
