file_number,label,global_root,field_count,package_name,package_prefix
740.5,QA AUDIT,"^QA(740.5,",3,ZQUALITY ASSURANCE,XQAQ
741.0,QA OCCURRENCE SCREEN,"^QA(741,",29,OCCURRENCE SCREEN,QAO
741.1,QA OCCURRENCE SCREEN CRITERIA,"^QA(741.1,",5,OCCURRENCE SCREEN,QAO
741.2,QA OCCURRENCE REVIEW LEVEL,"^QA(741.2,",2,OCCURRENCE SCREEN,QAO
741.3,*QA OCCURRENCE CLINICAL REVIEWER,"^QA(741.3,",1,OCCURRENCE SCREEN,QAO
741.4,QA OCCURRENCE CLINICAL REFERRAL,"^QA(741.4,",4,OCCURRENCE SCREEN,QAO
741.5,QA OCCURRENCE EXCEPTION,"^QA(741.5,",4,OCCURRENCE SCREEN,QAO
741.6,QA OCCURRENCE FINDINGS,"^QA(741.6,",3,OCCURRENCE SCREEN,QAO
741.7,QA OCCURRENCE ACTION,"^QA(741.7,",3,OCCURRENCE SCREEN,QAO
741.8,QA OCCURRENCE SEVERITY OF OUTCOME,"^QA(741.8,",2,OCCURRENCE SCREEN,QAO
741.9,QA OCCURRENCE TREATING SPECIALTY,"^QA(741.9,",2,OCCURRENCE SCREEN,QAO
741.93,QA OCCURRENCE MEDICAL TEAM,"^QA(741.93,",1,OCCURRENCE SCREEN,QAO
741.95,*QA OCCURRENCE NUMBER CASES SCREENED,"^QA(741.95,",11,OCCURRENCE SCREEN,QAO
741.97,QA OCCURRENCE COMMITTEE,"^QA(741.97,",2,OCCURRENCE SCREEN,QAO
741.99,QA OCCURRENCE AUTO RUN DATES,"^QA(741.99,",16,OCCURRENCE SCREEN,QAO
743.0,QA MONITOR,"^QA(743,",29,CLINICAL MONITORING SYSTEM,QAM
743.1,FALL OUT,"^QA(743.1,",6,CLINICAL MONITORING SYSTEM,QAM
743.2,MONITOR HISTORY,"^QA(743.2,",11,CLINICAL MONITORING SYSTEM,QAM
743.3,CONDITION,"^QA(743.3,",6,CLINICAL MONITORING SYSTEM,QAM
743.4,DATA ELEMENT,"^QA(743.4,",13,CLINICAL MONITORING SYSTEM,QAM
743.5,GROUP,"^QA(743.5,",3,CLINICAL MONITORING SYSTEM,QAM
