file_number,label,global_root,field_count,package_name,package_prefix
991.8,CIRN SITE PARAMETER,"^RGSITE(991.8,",54,,
995.0,CIRN EVENT ASSOCIATION,^RGEQASN(,8,,
995.1,CIRN EVENT EXCEPTION,^RGEQEXC(,5,,
995.2,CIRN EVENT STATISTICS,"^RGSTAT(995.2,",5,,
996.0,EXTENSIBLE EDITOR,^RGED1(,18,,
996.2,EXTENSIBLE EDITOR SPELLCHECKER,^RGED3(,1,,
1609.0,EHRM HL7 Message,"^EHMHL7(1609,",10,,
1609.1,EHRM HL7 Message Retention,"^EHMHL7(1609.1,",2,,
1927.09,NUPA SAVED NOTES,"^NUPA(1927.09,",5,,
1927.2,NUPA ASSESSMENT PROBLEMS,"^NUPA(1927.2,",6,,
1927.23,NUPA PLAN DESCRIPTION TABS,"^NUPA(1927.23,",2,,
1927.24,NUPA ASSESSMENT INTERVENTIONS,"^NUPA(1927.24,",4,,
1927.3,NUPA ASSESSMENT DESCRIPTIONS,"^NUPA(1927.3,",2,,
1927.32,NUPA PCE INFO,"^NUPA(1927.32,",17,,
1927.4,NUPA CARE PLANS,"^NUPA(1927.4,",304,,
1927.401,NUPA CARE PLAN PRESSURE ULCERS,"^NUPA(1927.401,",8,,
1927.4011,NUPA CARE PLAN SKIN ALT TYPES,"^NUPA(1927.4011,",2,,
1927.402,NUPA CARE PLAN IVS,"^NUPA(1927.402,",13,,
1927.403,NUPA CARE PLAN GI/GU DEVICES,"^NUPA(1927.403,",6,,
1927.41,NUPA COMPONENT ITEMS,"^NUPA(1927.41,",2,,
1927.5,NUPA CARE PLAN TEXT CHANGE LOG,"^NUPA(1927.5,",6,,
1927.6,NUPA DISCHARGE PLANNING GOAL COMMENTS,"^NUPA(1927.6,",5,,
2000.0,FM SCREEN (USER),^DJR(,10,SCREEN HANDLER FOR FILEMAN,DJ
2001.0,FM SCREEN (DRIVER),^DJRM(,9,SCREEN HANDLER FOR FILEMAN,DJ
2005.0,IMAGE,"^MAG(2005,",73,,
2005.001,IMAGING STUDY,"^MAG(2005.001,",4,,
2005.002,IMAGING ANNOTATION,"^MAG(2005.002,",2,,
2005.003,IMAGING STUDY ANNOTATION,"^MAG(2005.003,",2,,
2005.02,OBJECT TYPE,"^MAG(2005.02,",7,,
2005.021,IMAGE FILE TYPES,"^MAG(2005.021,",7,,
2005.03,PARENT DATA FILE,"^MAG(2005.03,",11,,
2005.1,IMAGE AUDIT,"^MAG(2005.1,",71,,
2005.2,NETWORK LOCATION,"^MAG(2005.2,",33,,
2005.4,IMAGE HISTOLOGICAL STAIN,"^MAG(2005.4,",2,,
2005.41,MICROSCOPIC OBJECTIVE,"^MAG(2005.41,",1,,
2005.42,MAG PATH CASELIST,"^MAG(2005.42,",15,,
2005.43,MAG PATH INTERPRETATION,"^MAG(2005.43,",6,,
2005.6,IMAGING PATIENT REFERENCE,"^MAGV(2005.6,",7,,
2005.61,IMAGING PROCEDURE REFERENCE,"^MAGV(2005.61,",9,,
2005.62,IMAGE STUDY,"^MAGV(2005.62,",19,,
2005.63,IMAGE SERIES,"^MAGV(2005.63,",25,,
2005.632,CT DOSE,"^MAGV(2005.632,",7,,
2005.633,PROJECTION X-RAY DOSE,"^MAGV(2005.633,",11,,
2005.6361,ANATOMIC TARGET REGION,"^MAGV(2005.6361,",3,,
2005.6362,PHANTOM TYPE,"^MAGV(2005.6362,",3,,
2005.6366,CODE SCHEME DESIGNATOR,"^MAGV(2005.6366,",2,,
2005.64,IMAGE SOP INSTANCE,"^MAGV(2005.64,",47,,
2005.65,IMAGE INSTANCE FILE,"^MAGV(2005.65,",13,,
2005.66,IMAGING DUPLICATE UID LOG,"^MAGV(2005.66,",7,,
2005.67,NEW IMAGING FILE CLEANUP LOG,"^MAGV(2005.67,",10,,
2005.71,IMAGING DICOM FIELDS,"^MAG(2005.71,",2,,
2005.8,IMAGING SERVICE INSTITUTION,"^MAGV(2005.8,",1,,
2005.81,MAG DESCRIPTIVE CATEGORIES,"^MAG(2005.81,",12,,
2005.82,IMAGE INDEX FOR CLASS,"^MAG(2005.82,",2,,
2005.83,IMAGE INDEX FOR TYPES,"^MAG(2005.83,",4,,
2005.84,IMAGE INDEX FOR SPECIALTY/SUBSPECIALTY,"^MAG(2005.84,",5,,
2005.85,IMAGE INDEX FOR PROCEDURE/EVENT,"^MAG(2005.85,",5,,
2005.86,IMAGE ACTIONS,"^MAG(2005.86,",7,,
2005.87,IMAGE LIST FILTERS,"^MAG(2005.87,",20,,
2005.872,DICOM INDEX MAPPING,"^MAG(2005.872,",3,,
2005.88,MAG REASON,"^MAG(2005.88,",5,,
2005.99,IMAGE INDEX FOR BODY PART,"^MAG(2005.99,",8,,
2006.03,IMAGE BACKGROUND QUEUE,"^MAGQUEUE(2006.03,",13,,
2006.031,IMAGE BACKGROUND QUEUE POINTER,"^MAGQUEUE(2006.031,",6,,
2006.033,OFFLINE IMAGES,"^MAGQUEUE(2006.033,",2,,
2006.034,IMPORT QUEUE,"^MAG(2006.034,",2,,
2006.035,SEND QUEUE,"^MAGQUEUE(2006.035,",10,,
2006.036,ROUTING STATISTICS,"^MAGQUEUE(2006.036,",2,,
2006.04,ACQUISITION DEVICE,"^MAG(2006.04,",3,,
2006.041,ACQUISITION SESSION FILE,"^MAG(2006.041,",6,,
2006.1,IMAGING SITE PARAMETERS,"^MAG(2006.1,",99,,
2006.13,MAG PATH CONFIG,"^MAG(2006.13,",8,,
2006.15,DICOM UID ROOT,"^MAGD(2006.15,",4,,
2006.17,MUSE VERSIONS,"^MAG(2006.17,",1,,
2006.171,MUSE TEST TYPES,"^MAG(2006.171,",1,,
2006.172,MUSE FORMAT TABLE,"^MAG(2006.172,",5,,
2006.18,IMAGING USER PREFERENCE,"^MAG(2006.18,",222,,
2006.19,IMAGING USERS,"^MAG(2006.19,",7,,
2006.5,PACS MESSAGE,"^MAGDHL7(2006.5,",7,,
2006.51,DICOM DATA ELEMENT DICTIONARY,"^MAGDICOM(2006.51,",7,,
2006.511,DIAGNOSTIC INFO FIELD,"^MAGDICOM(2006.511,",2,,
2006.52,DICOM MESSAGE TEMPLATE DICTIONARY,"^MAGDICOM(2006.52,",6,,
2006.53,DICOM UID DICTIONARY,"^MAGDICOM(2006.53,",5,,
2006.531,EXTENDED SOP NEGOTIATION,"^MAGDICOM(2006.531,",3,,
2006.532,DICOM SOP CLASS,"^MAG(2006.532,",4,,
2006.539,DICOM UID SPECIFIC ACTION,"^MAGDICOM(2006.539,",5,,
2006.54,PDU TYPE,"^MAGDICOM(2006.54,",3,,
2006.541,DICOM VISTA Q/R REQUEST QUEUE,"^MAGDSTT(2006.541,",9,,
2006.542,DICOM RETRIEVE REQUEST QUEUE,"^MAGDSTT(2006.542,",7,,
2006.543,AUTOMATIC DICOM Q/R RUN STATS,"^MAGDSTT(2006.543,",22,,
2006.55,DICOM WORKLIST PATIENT,"^MAGDWLST(2006.55,",2,,
2006.56,DICOM WORKLIST STUDY,"^MAGDWLST(2006.56,",2,,
2006.563,DICOM GATEWAY PARAMETER,"^MAGDICOM(2006.563,",130,,
2006.564,DICOM QUEUE,"^MAGDICOM(2006.564,",6,,
2006.5641,DICOM GATEWAY MACHINE ID,"^MAGDICOM(2006.5641,",3,,
2006.565,EXPORT DICOM RUN,"^MAGDICOM(2006.565,",30,,
2006.57,DICOM HL7 SEGMENT,"^MAGDICOM(2006.57,",3,,
2006.571,DICOM RAW IMAGE,"^MAGDINPT(2006.571,",7,,
2006.5711,DICOM M2MB RPC QUEUE,"^MAGDINPT(2006.5711,",1,,
2006.5712,DICOM FIXED QUEUE,"^MAGDINPT(2006.5712,",9,,
2006.5713,DICOM UNKNOWN MODALITY,"^MAGDINPT(2006.5713,",6,,
2006.5714,DICOM INCOMPLETE OBJECT,"^MAGDINPT(2006.5714,",5,,
2006.5715,CURRENT IMAGE,"^MAGD(2006.5715,",2,,
2006.5719,DICOM ERROR LOG,"^MAGDINPT(2006.5719,",4,,
2006.572,EXAMINATION COMPLETE,"^MAGDINPT(2006.572,",5,,
2006.573,GE PACS QUERY/RETRIEVE,"^MAGDGEQR(2006.573,",5,,
2006.5732,DICOM QUERY RETRIEVE RESULT,"^MAGDQR(2006.5732,",5,,
2006.5733,QUERY/RETRIEVE STATISTICS,"^MAGDAUDT(2006.5733,",2,,
2006.574,DICOM OBJECT EXPORT,"^MAGDOUTP(2006.574,",10,,
2006.575,DICOM FAILED IMAGES,"^MAGD(2006.575,",37,,
2006.5751,DICOM OBJECTS TO BE IMPORTED,"^MAGDICOM(2006.5751,",25,,
2006.5752,IMPORTABLE DICOM OBJECTS,"^MAGD(2006.5752,",10,,
2006.5757,DICOM RADIOLOGY PROCEDURE MODIFIERS,"^MAGDICOM(2006.5757,",3,,
2006.5758,DICOM RADIOLOGY PROCEDURES,"^MAGDICOM(2006.5758,",9,,
2006.5759,OUTSIDE IMAGING LOCATION,"^MAGD(2006.5759,",4,,
2006.5761,DICOM MESSAGE STATISTISTICS,"^MAGDAUDT(2006.5761,",3,,
2006.5762,DICOM INSTRUMENT STATISTICS,"^MAGDAUDT(2006.5762,",3,,
2006.5763,DICOM PACS STATISTICS,"^MAGDAUDT(2006.5763,",3,,
2006.5764,DICOM LOCAL INSTRUMENT STATISTICS,"^MAGDICOM(2006.5764,",6,,
2006.577,DICOM FIFO QUEUE,"^MAGDICOM(2006.577,",3,,
2006.58,DICOM LOG,^MAGDMLOG(,5,,
2006.581,INSTRUMENT DICTIONARY,"^MAGDICOM(2006.581,",6,,
2006.582,MODALITY TYPE DICTIONARY,"^MAGDICOM(2006.582,",9,,
2006.5821,CT CONVERSION PARAMETERS,"^MAGDICOM(2006.5821,",5,,
2006.583,MODALITY WORKLIST DICTIONARY,"^MAGDICOM(2006.583,",6,,
2006.5831,CLINICAL SPECIALTY DICOM & HL7,"^MAG(2006.5831,",9,,
2006.5838,DICOM LAB TEMP LIST,"^MAG(2006.5838,",4,,
2006.5839,DICOM GMRC TEMP LIST,"^MAG(2006.5839,",3,,
2006.584,TCP/IP PROVIDER PORT LIST,"^MAGDICOM(2006.584,",5,,
2006.5841,TELEREADER ACQUISITION SERVICE,"^MAG(2006.5841,",7,,
2006.5842,TELEREADER ACQUISITION SITE,"^MAG(2006.5842,",4,,
2006.5843,TELEREADER READER,"^MAG(2006.5843,",2,,
2006.5849,TELEREADER READ/UNREAD LIST,"^MAG(2006.5849,",19,,
2006.585,USER APPLICATION,"^MAGDICOM(2006.585,",9,,
2006.586,PROVIDER APPLICATION,"^MAGDICOM(2006.586,",3,,
2006.587,DICOM TRANSMIT DESTINATION,"^MAG(2006.587,",10,,
2006.588,APPLICATION ENTITY TITLE,"^MAGDICOM(2006.588,",3,,
2006.59,ROUTING RULE,"^MAGDICOM(2006.59,",5,,
2006.5906,ROUTE LOAD BALANCE,"^MAGRT(2006.5906,",3,,
2006.596,ACTION QUEUE STATUS,"^MAGDICOM(2006.596,",2,,
2006.598,DICOM ERROR MESSAGE QUEUE,"^MAGDICOM(2006.598,",6,,
2006.599,DICOM Error Log,"^MAGD(2006.599,",12,,
2006.59935,CLEANUP OF JPEG IMAGES STORED AS DICOM IMAGES,"^MAG(2006.59935,",9,,
2006.621,MAG CT PARAMETER,"^MAG(2006.621,",2,,
2006.623,MAG CR PARAMETER,"^MAG(2006.623,",2,,
2006.63,MAG RAD LIST DATA ELEMENTS,"^MAG(2006.63,",8,,
2006.631,MAG RAD LISTS DEFINITION,"^MAG(2006.631,",11,,
2006.634,MAGJ ZLIST SEARCH,"^MAG(2006.634,",45,,
2006.65,MAG RAD PRIOR EXAMS LOGIC,"^MAG(2006.65,",3,,
2006.67,MAG RAD CPT MATCHING,"^MAG(2006.67,",6,,
2006.671,MAG RAD BODY PART,"^MAG(2006.671,",1,,
2006.672,MAG RAD BODY REGION,"^MAG(2006.672,",1,,
2006.68,MAGJ USER DATA,"^MAG(2006.68,",5,,
2006.69,MAG VISTARAD SITE PARAMETERS,"^MAG(2006.69,",24,,
2006.8,BP SERVERS,"^MAG(2006.8,",21,,
2006.81,IMAGING WINDOWS WORKSTATIONS,"^MAG(2006.81,",23,,
2006.82,IMAGING WINDOWS SESSIONS,"^MAG(2006.82,",20,,
2006.83,DICOM WORKSTATION,"^MAG(2006.83,",3,,
2006.911,DICOM GATEWAY INSTRUMENT DICTIONARY,"^MAGDICOM(2006.911,",4,,
2006.912,DICOM GATEWAY MODALITY DICTIONARY,"^MAGDICOM(2006.912,",4,,
2006.913,ARTIFACT KEYLIST,"^MAGV(2006.913,",2,,
2006.914,RETENTION POLICY,"^MAGV(2006.914,",7,,
2006.915,ARTIFACT DESCRIPTOR,"^MAGV(2006.915,",5,,
2006.916,ARTIFACT,"^MAGV(2006.916,",10,,
2006.917,STORAGE PROVIDER,"^MAGV(2006.917,",6,,
2006.918,ARTIFACT INSTANCE,"^MAGV(2006.918,",8,,
2006.9191,MAGV GATEWAY CONFIGURATION,"^MAGV(2006.9191,",6,,
2006.9192,DICOM AE SECURITY MATRIX,"^MAGV(2006.9192,",17,,
2006.9193,IMAGING APPLICATION SERVICE,"^MAGV(2006.9193,",1,,
2006.921,ARTIFACT RETENTION POLICY,"^MAGV(2006.921,",5,,
2006.922,RETENTION POLICY FULFILLMENT,"^MAGV(2006.922,",3,,
2006.923,RETENTION POLICY STORAGE PROVIDER MAP,"^MAGV(2006.923,",5,,
2006.924,STORAGE PROVIDER AVAILABILITY,"^MAGV(2006.924,",4,,
2006.925,TRANSFER STATISTICS,"^MAGV(2006.925,",5,,
2006.926,STORAGE TRANSACTION,"^MAGV(2006.926,",7,,
2006.927,QUEUE,"^MAGV(2006.927,",6,,
2006.928,QUEUE MESSAGE,"^MAGV(2006.928,",7,,
2006.93,IMAGING EVENT AUDIT LOG,"^MAGV(2006.93,",6,,
2006.931,IMAGING EVENT AUDITABLE ACTION,"^MAGV(2006.931,",1,,
2006.941,MAG WORK ITEM,"^MAGV(2006.941,",14,,
2006.9412,WORKLIST,"^MAGV(2006.9412,",2,,
2006.9413,MAG WORK ITEM STATUS,"^MAGV(2006.9413,",1,,
2006.9414,MAG WORK ITEM SUBTYPE,"^MAGV(2006.9414,",1,,
2006.9421,MAGV IMPORT STUDY LOG,"^MAGV(2006.9421,",14,,
2006.9422,MAGV IMPORT MEDIA LOG,"^MAGV(2006.9422,",6,,
2006.9423,MAGV IMPORT SERVICE,"^MAGV(2006.9423,",2,,
2006.95,IMAGE ACCESS LOG,"^MAG(2006.95,",12,,
2006.96,IMAGE INDEX CONVERSION,"^MAGIXCVT(2006.96,",2,,
2006.961,MULTI IMAGE PRINT,"^MAG(2006.961,",5,,
2040.0,VIST ROSTER,"^ANRV(2040,",36,,
2041.0,VIST PARAMETERS,"^ANRV(2041,",5,,
2041.5,VIST EYE DIAGNOSIS,"^ANRV(2041.5,",1,,
2041.6,VIST CHECKLIST OPTIONS,"^ANRV(2041.6,",1,,
2041.7,VIST BENEFITS AND SERVICES CHECKLIST,"^ANRV(2041.7,",33,,
2042.0,VIST REFERRAL FACILITY,"^ANRV(2042,",1,,
2042.5,VIST REFERRAL ROSTER,"^ANRV(2042.5,",2,,
2043.0,VIST LETTER,"^ANRV(2043,",3,,
2043.5,VARO CLAIMS,"^ANRV(2043.5,",2,,
2044.0,VIST LOCAL BENEFITS AND SERVICES,"^ANRV(2044,",1,,
2048.0,ANRV PATIENT REVIEW,"^ANRV(2048,",5,,
2048.1,ANRV PATIENT REVIEW SECTIONS,"^ANRV(2048.1,",4,,
2100.0,GENERIC CODE SHEET,"^GECS(2100,",2603,GENERIC CODE SHEET,GEC
2100.1,GENERIC CODE SHEET STACK,"^GECS(2100.1,",18,GENERIC CODE SHEET,GEC
2101.1,GENERIC CODE SHEET BATCH TYPE,"^GECS(2101.1,",5,GENERIC CODE SHEET,GEC
2101.2,GENERIC CODE SHEET TRANSACTION TYPE/SEGMENT,"^GECS(2101.2,",5,GENERIC CODE SHEET,GEC
2101.3,GENERIC CODE SHEET TRANSMISSION RECORD,"^GECS(2101.3,",9,GENERIC CODE SHEET,GEC
2101.4,GENERIC CODE SHEET TEMPLATE MAPS (not used),"^GECS(2101.4,",2,GENERIC CODE SHEET,GEC
2101.5,GENERIC CODE SHEET COUNTER,"^GECS(2101.5,",2,GENERIC CODE SHEET,GEC
2101.6,GENERIC CODE SHEET LOCK,"^GECS(2101.6,",3,GENERIC CODE SHEET,GEC
2101.7,GENERIC CODE SHEET SITE,"^GECS(2101.7,",2,GENERIC CODE SHEET,GEC
2260.0,ASISTS ACCIDENT REPORTING,"^OOPS(2260,",297,,
2261.0,ASISTS CHARACTERIZATION OF INJURY,"^OOPS(2261,",2,,
2261.1,ASISTS DOL ANATOMICAL LOCATION CODES,"^OOPS(2261.1,",3,,
2261.2,ASISTS CRITICAL TRACKING ISSUES,"^OOPS(2261.2,",2,,
2261.21,ASISTS INCIDENT WEATHER FACTORS,"^OOPS(2261.21,",2,,
2261.22,ASISTS INCIDENT SOURCE,"^OOPS(2261.22,",2,,
2261.24,ASISTS PREVENTION METHODS,"^OOPS(2261.24,",2,,
2261.3,ASISTS PERSONAL PROTECTIVE EQUIPMENT,"^OOPS(2261.3,",1,,
2261.4,ASISTS SETTING OF INJURY,"^OOPS(2261.4,",4,,
2261.5,ASISTS PURPOSE FOR USING SHARPS,"^OOPS(2261.5,",2,,
2261.6,ASISTS OCCURRENCE OF SHARPS INJURY,"^OOPS(2261.6,",2,,
2261.7,ASISTS DEVICE/EQUIPMENT,"^OOPS(2261.7,",3,,
2261.8,ASISTS RESULTS,"^OOPS(2261.8,",2,,
2261.9,ASISTS SAFETY CHARACTERISTICS,"^OOPS(2261.9,",2,,
2262.0,ASISTS SITE PARAMETER,"^OOPS(2262,",4,,
2262.1,ASISTS DOL DISTRICT OFFICE,"^OOPS(2262.1,",2,,
2262.2,ASISTS DEVICE SIZE,"^OOPS(2262.2,",2,,
2262.3,ASISTS NEEDLESTICK BRANDS,"^OOPS(2262.3,",1,,
2262.4,ASISTS REASON FOR CONTROVERT,"^OOPS(2262.4,",2,,
2262.5,ASISTS ADDITIONAL PAY TYPES,"^OOPS(2262.5,",2,,
2262.6,ASISTS STANDARD INDUSTRIAL CLASS. (SIC),"^OOPS(2262.6,",2,,
2262.7,ASISTS N.A. INDUSTRIAL CLASSIFICATION (NAICS),"^OOPS(2262.7,",2,,
2262.8,ASISTS REASON FOR DISPUTE CODES,"^OOPS(2262.8,",2,,
2263.0,ASISTS DOL TYPE OF INJURY CODES,"^OOPS(2263,",2,,
2263.1,ASISTS DOL SOURCE OF INJURY CODES,"^OOPS(2263.1,",2,,
2263.2,ASISTS DOL CAUSE OF INJURY CODES,"^OOPS(2263.2,",2,,
2263.3,ASISTS DOL NATURE OF INJURY CODES,"^OOPS(2263.3,",2,,
2263.5,ASISTS DOL PROVIDER TITLE,"^OOPS(2263.5,",2,,
2263.6,ASISTS OWCP CHARGEBACK CODES,"^OOPS(2263.6,",5,,
2263.7,ASISTS UNION INFORMATION,"^OOPS(2263.7,",3,,
2263.8,ASISTS BODY PART GROUPINGS,"^OOPS(2263.8,",2,,
2264.0,ASISTS COMPENSATION CLAIM (CA7),"^OOPS(2264,",106,,
2275.0,HEALTH EVET REGISTER,"^EVET(2275,",13,,
2275.3,MHV REQUEST TYPE,"^MHV(2275.3,",8,,
2275.4,MHV RESPONSE MAP,"^MHV(2275.4,",4,,
2276.0,HEALTH EVET AUDIT LOG,"^EVET(2276,",7,,
2276.1,HEALTH EVET DOWNLOAD SUMMARY,"^EVET(2276.1,",9,,
2276.3,HEALTH EVET DOWNLOAD EVENTS,"^EVET(2276.3,",4,,
2276.999,EVET LOCAL CONFIG,"^EVET(2276.999,",6,,
6000.0,VBECS SITE PARAMETERS,"^VBEC(6000,",9,,
6001.0,VBECS DATA INTEGRITY/CONVERSION STATISTICS,"^VBEC(6001,",6,,
6002.01,VBECS WORKLOAD CAPTURE,"^VBEC(6002.01,",18,,
6002.03,VBECS DSS EXTRACT,"^VBEC(6002.03,",15,,
6002.04,VBEC INTEGRITY,"^VBEC(6002.04,",2,,
6003.0,VISTA BLOOD BANK RESTRICTED OPTIONS LIST,"^VBEC(6003,",2,,
6005.0,VBECS MATCHING TABLE,"^VBEC(6005,",7,,
6007.0,STANDARD VBECS DATA,"^VBEC(6007,",9,,
6009.0,VBECS FILE & FIELD LEVEL SECURITY,"^VBEC(6009,",4,,
6910.0,ENG INIT PARAMETERS,"^DIC(6910,",20,ENGINEERING,EN
6910.1,ENGINEERING COMPUTER PORT,"^DIC(6910.1,",8,ENGINEERING,EN
6910.2,ENG SOFTWARE OPTIONS,"^ENG(6910.2,",4,ENGINEERING,EN
6910.3,DIVISION,"^ENG(6910.3,",1,ENXF,ENXF
6910.5,ENG SYSTEM SOFTWARE CHANGES,"^ENG(""DOC"",",7,,
6910.9,ENG DJ SCREEN,"^ENG(6910.9,",10,ENGINEERING,EN
6911.0,EQUIPMENT CATEGORY,"^ENG(6911,",5,ENGINEERING,EN
6912.0,MANUFACTURER LIST FILE,"^ENG(""MFG"",",10,ENGINEERING,EN
6913.0,OWNER/DEPT,"^ENG(""DPT"",",4,,
6914.0,EQUIPMENT INV.,"^ENG(6914,",90,ENGINEERING,EN
6914.1,CMR,"^ENG(6914.1,",13,ENGINEERING,EN
6914.2,PM PROCEDURES,"^ENG(6914.2,",4,ENGINEERING,EN
6914.3,NX SGL,"^ENG(6914.3,",6,ENXG,ENXG
6914.4,NX BOC,"^ENG(6914.4,",4,ENXG,ENXG
6914.6,NX FUND,"^ENG(6914.6,",6,ENXG,ENXG
6914.7,NX A/O,"^ENG(6914.7,",2,ENXG,ENXG
6914.8,NX DISPOSITION METHOD,"^ENG(6914.8,",2,ENXG,ENXG
6914.9,NATIONAL EIL,"^ENG(6914.9,",4,,
6915.1,FAP DOCUMENT COUNTERS,"^ENG(6915.1,",6,ENXI,ENXI
6915.11,AV REASON,"^ENG(6915.11,",2,,
6915.2,FA DOCUMENT LOG,"^ENG(6915.2,",60,ENXI,ENXI
6915.3,FB DOCUMENT LOG,"^ENG(6915.3,",47,ENXI,ENXI
6915.4,FC DOCUMENT LOG,"^ENG(6915.4,",64,ENXI,ENXI
6915.5,FD DOCUMENT LOG,"^ENG(6915.5,",42,ENXI,ENXI
6915.6,FR DOCUMENT LOG,"^ENG(6915.6,",48,ENXI,ENXI
6915.9,FAP BALANCES,"^ENG(6915.9,",2,ENXI,ENXI
6916.0,BERS SURVEY,"^ENGS(6916,",23,ENGINEERING,EN
6916.2,HAND RECEIPT TEXT,"^ENG(6916.2,",4,,
6916.3,IT ASSIGNMENT,"^ENG(6916.3,",14,,
6917.0,CATEGORY STOCK NUMBER,"^ENCSN(6917,",17,ENGINEERING,EN
6918.0,Y2K CATEGORY LOG,"^ENG(6918,",2,,
6918.1,UTILITY SYSTEMS,"^ENG(6918.1,",3,,
6919.0,ENG ARCHIVE LOG,"^ENG(6919,",11,ENGINEERING,EN
6919.1,WO ARCHIVE,"^ENAR(6919.1,",29,ENGINEERING ARCHIVING,ENAR
6919.2,2162 ACCIDENT ARCHIVE,"^ENAR(6919.2,",62,ENGINEERING ARCHIVING,ENAR
6920.0,WORK ORDER #,"^ENG(6920,",40,ENGINEERING,EN
6920.1,NEW WORK ACTION,"^ENG(6920.1,",3,ENGINEERING,EN
6920.5,WORK ACTION,"^ENG(""ACT"",",2,ENGINEERING WORK ACTIONS,ENWA
6921.0,WORK CENTER CODE,"^DIC(6921,",2,ENGINEERING,EN
6922.0,ENGINEERING SECTION LIST,"^DIC(6922,",7,ENGINEERING,EN
6924.0,FSA-2162 REPORT,"^ENG(""FSA"",",61,ENGINEERING,EN
6924.1,FSA-ACCIDENT ACTIVITY,"^ENG(6924.1,",1,ENGINEERING,EN
6924.2,FSA-ACCIDENT NATURE,"^ENG(6924.2,",1,ENGINEERING,EN
6924.3,FSA-DIVISION/SERVICE,"^ENG(6924.3,",3,ENGINEERING,EN
6925.0,CONSTRUCTION PROJECT,"^ENG(""PROJ"",",412,ENGINEERING,EN
6925.2,PROJECT STATUS,"^ENG(6925.2,",5,ENGINEERING,EN
6925.3,PROJECT EPA CATEGORY,"^ENG(6925.3,",5,ENXF,ENXF
6926.0,EMPLOYEE(KEYS),"^ENG(""KEY"",",4,ENGINEERING,EN
6927.0,LOCKS,"^ENG(""LK"",",6,ENGINEERING,EN
6928.0,ENG SPACE,"^ENG(""SP"",",42,ENGINEERING,EN
6928.1,ENG SPACE FUNCTIONS,"^ENG(6928.1,",2,ENGINEERING,EN
6928.2,ENG SPACE UTILITIES,"^ENG(6928.2,",1,ENGINEERING,EN
6928.3,ENG BUILDING,"^ENG(6928.3,",34,ENGINEERING,EN
6929.0,ENG EMPLOYEE,"^ENG(""EMP"",",20,ENGINEERING,EN
6930.0,PENDING RTLS EVENTS,"^VIAA(6930,",4,,
7115.1,HDIS DOMAIN,"^HDIS(7115.1,",2,,
7115.3,HDIS XML TEMPLATE,"^HDIS(7115.3,",6,,
7115.5,HDIS STATUS,"^HDIS(7115.5,",4,,
7115.6,HDIS FILE/FIELD,"^HDIS(7115.6,",3,,
7118.11,HDIS TERM/CONCEPT VUID ASSOCIATION,"^HDISV(7118.11,",6,,
7118.21,HDIS SYSTEM,"^HDISF(7118.21,",3,,
7118.22,HDIS FACILITY TERM/CONCEPT ASSOCIATION,"^HDISF(7118.22,",5,,
7118.25,HDIS VUID IMPLEMENTATION STATUS,"^HDISF(7118.25,",4,,
7118.27,HDIS TEXT FILE DEPLOYMENT TRACKING,"^HDISF(7118.27,",7,,
7118.29,HDIS PARAMETER,"^HDISF(7118.29,",20,,
7335.7,REGULATORY AGENCY,"^OFM(7335.7,",8,ENGINEERING,EN
7336.3,OFM SPACE CLASSIFICATION,"^OFM(7336.3,",4,ENGINEERING,EN
7336.6,OFM H089 CHAPTERS,"^OFM(7336.6,",5,ENGINEERING,EN
7336.8,OFM PROJ CATEGORY,"^OFM(7336.8,",19,ENGINEERING,EN
7336.9,OFM BUDGET CATEGORY,"^OFM(7336.9,",3,ENGINEERING,EN
8925.0,TIU DOCUMENT,"^TIU(8925,",75,,
8925.1,TIU DOCUMENT DEFINITION,"^TIU(8925.1,",54,,
8925.2,TIU UPLOAD BUFFER,"^TIU(8925.2,",6,,
8925.3,TIU UPLOAD ERROR DEFINITION,"^TIU(8925.3,",4,,
8925.4,TIU UPLOAD LOG,"^TIU(8925.4,",11,,
8925.5,TIU AUDIT TRAIL,"^TIU(8925.5,",26,,
8925.6,TIU STATUS,"^TIU(8925.6,",8,,
8925.7,TIU MULTIPLE SIGNATURE,"^TIU(8925.7,",9,,
8925.71,TIU TEXT EVENTS,"^TIU(8925.71,",11,,
8925.8,TIU SEARCH CATEGORIES,"^TIU(8925.8,",7,,
8925.9,TIU PROBLEM LINK,"^TIU(8925.9,",6,,
8925.91,TIU EXTERNAL DATA LINK,"^TIU(8925.91,",3,,
8925.93,TIU PRINT PARAMETERS,"^TIU(8925.93,",5,,
8925.94,TIU DIVISION PRINT PARAMETERS,"^TIU(8925.94,",4,,
8925.95,TIU DOCUMENT PARAMETERS,"^TIU(8925.95,",35,,
8925.97,TIU CONVERSIONS,"^TIU(8925.97,",11,,
8925.98,TIU PERSONAL DOCUMENT TYPE LIST,"^TIU(8925.98,",5,,
8925.99,TIU PARAMETERS,"^TIU(8925.99,",31,,
8926.0,TIU PERSONAL PREFERENCES,"^TIU(8926,",15,,
8926.1,TIU VHA ENTERPRISE STANDARD TITLE,"^TIU(8926.1,",10,,
8926.2,TIU LOINC SUBJECT MATTER DOMAIN,"^TIU(8926.2,",5,,
8926.3,TIU LOINC ROLE,"^TIU(8926.3,",5,,
8926.4,TIU LOINC SETTING,"^TIU(8926.4,",5,,
