package_name,prefix,version,file_count
DUE ENHANCEMENT PATCH,PSOD,,0
DVBB,DVBB,2507 EXAM look up,0
DVBQINIT FOR PATCH DVB*4*25,DVBQ,FOR PATCH DVB*4*25,0
DVBT ADD 2507 PAT TEMPLATE,DVBT,Mini-Init as part of AMIE patch DVBA*2.7*1,0
DVBZ,DVBZ,,0
Discharge Summary,GMRE,Patch GMRD*1.0*3 to support VBA,0
E CLAIMS MGMT ENGINE,BPS,ELECTRONIC CLAIMS MGT,0
ECG MUSE/DHCP INTERFACE,MC2E,ECG MUSE/DHCP INTERFACE INIT,0
EDR/VA ADMITTING REGULATIONS,DGYL,EDR UPDATE,0
EEO COMPLAINT TRACKING,EEO,EEO Complaint Tracking system,7
EEOA - For EEO*2*3,EEOA,INIT for install of patch EEO*2*3,0
EEOP,EEOP,Inits for EEO Patch *1*11,0
ELECTRONIC HEALTH MODERNIZATION,EHM,SPECIAL PROGRAMMING NEEDED FOR CONVERTED SITES,0
ELECTRONIC SIGNATURE,XOBE,Foundations electronic signature code utilities.,0
EMERGENCY DEPARTMENT,EDP,Emergency Department Information System,0
ENGINEERING,EN,AUTOMATED ENGINEERING MANAGEMENT SYSTEM,36
ENGINEERING (OLD VERSION),EM,"SLC EMIS: WORK ORDERS, PM",0
ENGINEERING ARCHIVING,ENAR,Engineering Archive,2
ENGINEERING TRAINING,ENTC,AEMS/MERS Equipment File Training,0
ENGINEERING WORK ACTIONS,ENWA,Standardized WORK ACTIONS,1
ENPL,ENPL,Patch EN*7*11,0
ENROLLMENT APPLICATION SYSTEM,EAS,ENROLLMENT,0
ENTERPRISE TERMINOLOGY SERVICE,ETS,Standardized terminology services,0
ENXC,ENXC,Engineering Patch 19 Package file entry,0
ENXD,ENXD,Engineering 7.0; PAtch 20; Equipment Export,0
ENXE,ENXE,Enhancement patch for faciliy consolidations.,0
ENXF,ENXF,Patch EN*7*23,2
ENXG,ENXG,Patch EN*7*25 FIXED ASSETS ENHANCEMENT PHASE I,5
ENXI,ENXI,Patch EN*7*29 FIXED ASSETS ENHANCEMENT PHASE II,7
ENXJ,ENXJ,Patch EN*7*30,0
ENXK,ENXK,PATCH EN*7*31 (PREPARATION FOR FIXED ASSETS ENHANCEMENT),0
ENYB,ENYB,EN*7*17 BERS SURVEY,0
EQUIPMENT LOG,A1AI,EQUIPMENT LOG FOR SITES IN REGION 1,0
