package_name,prefix,version,file_count
SCREEN HANDLER FOR FILEMAN,DJ,SCREEN HANDLER FOR THE FILE MANAGER,2
SCREEN HANDLING FOR FILEMAN,DJ,,0
SDAC,SDAC,Enhancement to flag possible C&P's for computer generated,0
SDYA WAITING TIME REPORT,SDYA,APPOINTMENT WAITING TIME REPORT,0
SDYN FOR PATCH SD*5.3*28,SDYN,Data dictionary updates required by patch ,0
SDYP PRIMARY CARE FIELDS,SDYP,Support for local mods for primary care.,1
SDYS,SDYS,Used for patch SD*5.3*36.,0
SHIFT CHANGE HANDOFF TOOL,CRHD,CAIRO PRODUCT CONVERSION TO CLASS I PRODUCT,0
SOCIAL WORK,SOW,Files and fields for the Social Work Package,1
SOCIAL WORK 95 CDC ACCOUNTS,SOWA,Social Work CDC Account changes to file 651.,0
SOCIAL WORK FILE 651,SOWC,These init's are used to populate the 651 file.,0
SOCIAL WORK PATCH,ZZSW,PATCH FOR SOCIAL WORK VERSION 2.06,0
SPINAL CORD DYSFUNCTION,SPN,"SPINAL CORD DYSFUNCTION, FIELD COMPONENT",0
SPOOL,SP,SPOOL,0
SUPPLY,SU,"2138 P.O. PREPARATION, REPORTS",3
SURGERY,SR,SURGICAL DATA COLLECTION AND OPERATIONS SCHEDULING,28
SURGERY PATCH SR*3*38,SROA,"Surgery Patch SR*3*38 - Risk Assessment, Phase III",0
SURGERY STAFF/RESIDENT,SRRS,Staff/Resident field addition,0
SURVEY GENERATOR,QAP,Generates surveys and allows participation in them.,4
TASK-MANAGER QUEUEING,ZT,,0
TEMPORARY,Z,,0
TEXT INTEGRATION UTILITIES,TIU,Text Integration Utilities ,0
TOOLKIT,XT,"PROGRAMMERS OPTIONS, MULTI. TERM LOOKUP",7
TREATING SPECIALTY INACT,DGYV,Patch DG*5.3*64,0
TUMOR REGISTRY,TR,DISTASO,0
TUMOR REGISTRY,TU,,0
UB-82 BILLING,DGCR,MCCR (UB-82) Billing Module,5
UNIT DOSE MARs,PSGM,7 and 14 day MARs for UNTI DOSE 2.13,0
UNIT DOSE MEDICATIONS,PSG,UNIT DOSE PHARMACY,11
UNWINDER,XQOR,Routines for navigating the Protocol file.,0
UTILITIES,%Z,MGR ROUTINES,0
UTILIZATION MANAGEMENT ROLLUP,IBQ,,0
UTILIZATION MGMT ROLLUP LOCAL,IBQL,Rollup from Hospital Review and Claims Tracking files.,1
UTILIZATION REVIEW,PRMQ,REVIEW CARE OF PATIENTS WHILE HOSPITALIZED,2
VA CERTIFIED COMPONENTS - DSSI,DSIC,"DSS, Inc VA Certified Kernel Components",0
VA FILEMAN,DI,FM INIT,0
VBECS,VBEC,VistA Blood Establishment Computer System,0
VDEF,VDEF,VISTA Data Extraction Framework,0
VENDOR - DOCUMENT STORAGE SYS,VEJD,"VA Certified Routines and RPCs for DSS, INC",0
VETERANS ADMINISTRATION,VA,VA CORE FILES,0
VETERANS DATA INTEGRATION AND FEDERATION,VDI,VDIF Enterprise Platform,0
VIRTUAL PATIENT RECORD,VPR,Utilities to manage a virtual copy of the patient record,0
VISICALC,VC,ROW/COLUMN WORKSHEET,0
VISIT RECORD,VR,,0
VISIT TRACKING,VSIT,"Visit tracking module, VSIT namespace.",0
VISTA INTEGRATION ADAPTER,VIAB,VIAB APP,0
VISTA SYSTEM MONITOR,KMPV,VistA System Monitor is a set of CP monitoring tools.,0
VISTA WEB,WEBV,VISTA WEB,0
VISTALINK,XOBV,VistaLink,0
VISTALINK SECURITY,XOBS,SECURITY SUBSYSTEM FOR VISTALINK,0
VISUAL IMPAIRMENT SERVICE TEAM,ANRV,VIST Roster with patient data and AMIS report.,0
VOLUNTARY TIMEKEEPING,ABSV,,0
VOLUNTARY TIMEKEEPING,ABSV,VOLUNTARY TIMEKEEPING,0
VOLUNTARY TIMEKEEPING PATCH,ABS1,PACKAGE FOR VOL TIMEKEEPING PATCHES,0
VPE SHELL,XVVM,Victory Programmer Environment,5
VPS KIOSK,VPS,RPC components that support VPS Kiosk.,0
WEB SERVICES CLIENT,XOBW,Allows VistA applications access to remote web services,0
WEB VISTA REMOTE ACCESS MANAGEMENT,WEBG,WebVRAM is a tool to help CLAIMS users access VistA systems,0
WOMEN'S HEALTH,WV,Tracks health issues specific to female patients.,0
WORD PROCESSOR,WP,ISM MULTI-WORD,0
WOUNDED INJURED ILL WARRIORS,WII,Active duty patients admissions and discharges.,0
XMYB,XMYB,All VA Mail Boxes Broadcast,0
YS*5.01*10 (MENTAL HEALTH),YSA,YS*5.01*10,0
ZPEH,A2AP,WASH ISC PATCH CHECK UTILITY,1
ZQUALITY ASSURANCE,XQAQ,This is fulcrum for all the Quality Assurence Software.,2
ZRS1,ZRS1,FPDS REPORT CHANGES FOR 1990 ,0
ZRS2,ZRS2,Add new LOG transactions.,0
ZZTEST,ZZZZ,TEST,0
ZZVITALS,ZZRV,Vitals/Measurements Module of General Medical Record.,5
