file_number,label,entry_count,tier,package,package_provenance,package_confidence,global_root
142.5,HEALTH SUMMARY OBJECTS,5,tiny,(unattributed),unattributed,,"^GMT(142.5,"
142.98,HEALTH SUMMARY USER PREFERENCES,5,tiny,(unattributed),unattributed,,"^GMT(142.98,"
142.99,HEALTH SUMMARY PARAMETERS,5,tiny,HEALTH SUMMARY,direct,high,"^GMT(142.99,"
213.2,NURS AMIS 1106B FTEE,5,tiny,NURSING ADMINISTRATION,direct,high,"^NURSA(213.2,"
213.4,NURS AMIS 1106 MANHOURS,5,tiny,NURSING ADMINISTRATION,direct,high,"^NURSA(213.4,"
213.5,NURS AMIS DAILY EXCEPTION REPORT,5,tiny,NURSING ADMINISTRATION,direct,high,"^NURSA(213.5,"
214.6,NURS CLASSIFICATION,5,tiny,NURSING ADMINISTRATION,direct,high,"^NURSA(214.6,"
214.7,NURS REVIEW CLASSIFICATION,5,tiny,NURSING ADMINISTRATION,direct,high,"^NURSA(214.7,"
349.0,AR TRANSMISSION RECORDS,5,tiny,(unattributed),unattributed,,"^RCT(349,"
349.1,AR TRANSMISSION TYPE,5,tiny,(unattributed),unattributed,,"^RCT(349.1,"
349.3,AR RC TRANSMISSIONS,5,tiny,(unattributed),unattributed,,"^RCT(349.3,"
349.4,AR RC TRANSACTION CODES,5,tiny,(unattributed),unattributed,,"^RCT(349.4,"
349.9,AR TRANSMISSION SEGMENTS,5,tiny,(unattributed),unattributed,,"^RCT(349.9,"
409.42,OUTPATIENT CLASSIFICATION,5,tiny,SCHEDULING,direct,high,"^SDD(409.42,"
409.43,OUTPATIENT DIAGNOSIS,5,tiny,SCHEDULING,direct,high,"^SDD(409.43,"
409.44,OUTPATIENT PROVIDER,5,tiny,SCHEDULING,direct,high,"^SDD(409.44,"
409.65,APPOINTMENT STATUS UPDATE LOG,5,tiny,SCHEDULING,direct,high,"^SDD(409.65,"
409.91,ACRP REPORT TEMPLATE,5,tiny,SCHEDULING,prefix,med,"^SDD(409.91,"
420.92,PRCU IFCAP/FMS CONVERSION,5,tiny,IFCAP,direct,high,"^PRCU(420.92,"
420.96,IFCAP/FMS OBLIGATION RECONCILIATION REPORT,5,tiny,IFCAP,direct,high,"^PRCU(420.96,"
420.97,IFCAP/FMS FCP RECONCILIATION MESSAGE,5,tiny,IFCAP,direct,high,"^PRCU(420.97,"
420.98,IFCAP/FMS FCP RECONCILIATION REPORT,5,tiny,IFCAP,direct,high,"^PRCU(420.98,"
420.99,IFCAP TEMP FCP SNAPSHOT,5,tiny,IFCAP,direct,high,"^PRCU(420.99,"
603.01,CLOZAPINE PATIENT LIST,5,tiny,MENTAL HEALTH,prefix,med,"^YSCL(603.01,"
603.02,CLOZAPINE LAB TEST,5,tiny,MENTAL HEALTH,prefix,med,"^YSCL(603.02,"
603.03,CLOZAPINE PARAMETERS,5,tiny,MENTAL HEALTH,prefix,med,"^YSCL(603.03,"
603.04,CLOZAPINE TESTS,5,tiny,MENTAL HEALTH,prefix,med,"^YSCL(603.04,"
603.05,CLOZAPINE HL7 TRANSMISSION,5,tiny,MENTAL HEALTH,prefix,med,"^YSCL(603.05,"
615.5,S/R REASONS,5,tiny,MENTAL HEALTH,direct,high,"^YSR(615.5,"
615.6,S/R CATEGORY,5,tiny,MENTAL HEALTH,direct,high,"^YSR(615.6,"
615.7,S/R RELEASE CRITERIA,5,tiny,MENTAL HEALTH,direct,high,"^YSR(615.7,"
615.8,S/R ALTERNATIVES,5,tiny,MENTAL HEALTH,direct,high,"^YSR(615.8,"
615.9,S/R OBSERVATION CHECKLIST,5,tiny,MENTAL HEALTH,direct,high,"^YSR(615.9,"
2006.03,IMAGE BACKGROUND QUEUE,5,tiny,IMAGING,prefix,med,"^MAGQUEUE(2006.03,"
2006.031,IMAGE BACKGROUND QUEUE POINTER,5,tiny,IMAGING,prefix,med,"^MAGQUEUE(2006.031,"
2006.033,OFFLINE IMAGES,5,tiny,IMAGING,prefix,med,"^MAGQUEUE(2006.033,"
2006.035,SEND QUEUE,5,tiny,IMAGING,prefix,med,"^MAGQUEUE(2006.035,"
2006.036,ROUTING STATISTICS,5,tiny,IMAGING,prefix,med,"^MAGQUEUE(2006.036,"
7118.21,HDIS SYSTEM,5,tiny,HEALTH DATA & INFORMATICS,prefix,med,"^HDISF(7118.21,"
7118.22,HDIS FACILITY TERM/CONCEPT ASSOCIATION,5,tiny,HEALTH DATA & INFORMATICS,prefix,med,"^HDISF(7118.22,"
7118.25,HDIS VUID IMPLEMENTATION STATUS,5,tiny,HEALTH DATA & INFORMATICS,prefix,med,"^HDISF(7118.25,"
7118.27,HDIS TEXT FILE DEPLOYMENT TRACKING,5,tiny,HEALTH DATA & INFORMATICS,prefix,med,"^HDISF(7118.27,"
7118.29,HDIS PARAMETER,5,tiny,HEALTH DATA & INFORMATICS,prefix,med,"^HDISF(7118.29,"
7335.7,REGULATORY AGENCY,5,tiny,ENGINEERING,direct,high,"^OFM(7335.7,"
7336.3,OFM SPACE CLASSIFICATION,5,tiny,ENGINEERING,direct,high,"^OFM(7336.3,"
7336.6,OFM H089 CHAPTERS,5,tiny,ENGINEERING,direct,high,"^OFM(7336.6,"
7336.8,OFM PROJ CATEGORY,5,tiny,ENGINEERING,direct,high,"^OFM(7336.8,"
7336.9,OFM BUDGET CATEGORY,5,tiny,ENGINEERING,direct,high,"^OFM(7336.9,"
19200.11,VPE RTN LBRY,5,tiny,VPE SHELL,direct,high,"^XVV(19200.11,"
19200.111,VPE PERSON,5,tiny,VPE SHELL,direct,high,"^XVV(19200.111,"
19200.112,VPE RTN VERSIONING,5,tiny,VPE SHELL,direct,high,"^XVV(19200.112,"
19200.113,VPE PROGRAMMER CALL,5,tiny,VPE SHELL,direct,high,"^XVV(19200.113,"
19200.114,VPE PROGRAMMER PARAMETER,5,tiny,VPE SHELL,direct,high,"^XVV(19200.114,"
548071.0,MODIFICATIONS TO NATIONAL PACKAGES (NEW),5,tiny,(unattributed),unattributed,,"^AXA(548071,"
548260.0,PATCH PACKAGE,5,tiny,(unattributed),unattributed,,"^AXA(548260,"
548260.1,PATCH STATUS,5,tiny,(unattributed),unattributed,,"^AXA(548260.1,"
548261.0,PATCH,5,tiny,(unattributed),unattributed,,"^AXA(548261,"
548270.0,IRM PERSON,5,tiny,(unattributed),unattributed,,"^AXA(548270,"
9.6,BUILD,4,tiny,KIDS,direct,high,"^XPD(9.6,"
9.7,INSTALL,4,tiny,KIDS,direct,high,"^XPD(9.7,"
9.9,PATCH MONITOR,4,tiny,KIDS,prefix,high,"^XPD(9.9,"
9.95,PATCH MONITOR PARAMETER,4,tiny,KIDS,prefix,high,"^XPD(9.95,"
41.1,SCHEDULED ADMISSION,4,tiny,REGISTRATION,direct,high,"^DGS(41.1,"
41.41,PRE-REGISTRATION AUDIT,4,tiny,REGISTRATION,prefix,med,"^DGS(41.41,"
41.42,PRE-REGISTRATION CALL LIST,4,tiny,REGISTRATION,prefix,med,"^DGS(41.42,"
41.43,PRE-REGISTRATION CALL LOG,4,tiny,REGISTRATION,prefix,med,"^DGS(41.43,"
43.5,G&L CORRECTIONS,4,tiny,REGISTRATION,direct,high,"^DGS(43.5,"
46.11,RAI MDS MONITOR,4,tiny,REGISTRATION,prefix,med,"^DGRU(46.11,"
46.12,RAI MDS WARD TRANSLATION,4,tiny,REGISTRATION,prefix,med,"^DGRU(46.12,"
46.13,RAI MDS ROOM-BED TRANSLATION,4,tiny,REGISTRATION,prefix,med,"^DGRU(46.13,"
46.14,RAI MDS ASIH PATIENT,4,tiny,REGISTRATION,prefix,med,"^DGRU(46.14,"
50.6,VA GENERIC,4,tiny,NATIONAL DRUG FILE,direct,high,"^PSNDF(50.6,"
50.64,VA DISPENSE UNIT,4,tiny,NATIONAL DRUG FILE,prefix,med,"^PSNDF(50.64,"
50.67,NDC/UPN,4,tiny,NATIONAL DRUG FILE,prefix,med,"^PSNDF(50.67,"
50.68,VA PRODUCT,4,tiny,NATIONAL DRUG FILE,prefix,med,"^PSNDF(50.68,"
64.7,CUMULATIVE,4,tiny,LAB SERVICE,direct,high,"^LAC(""LRAC"","
104.0,MDRO SITE PARAMETERS,4,tiny,MDRO INITIATIVE REPORTS,prefix,high,"^MMRS(104,"
104.1,MDRO TOOLS LAB SEARCH/EXTRACT,4,tiny,MDRO INITIATIVE REPORTS,prefix,high,"^MMRS(104.1,"
104.2,MDRO TYPES,4,tiny,MDRO INITIATIVE REPORTS,prefix,high,"^MMRS(104.2,"
104.3,MDRO WARD MAPPINGS,4,tiny,MDRO INITIATIVE REPORTS,prefix,high,"^MMRS(104.3,"
183.0,CRHD HANDOFF PARAMETERS,4,tiny,SHIFT CHANGE HANDOFF TOOL,prefix,high,"^CRHD(183,"
183.2,CRHD TEMPORARY DATA,4,tiny,SHIFT CHANGE HANDOFF TOOL,prefix,high,"^CRHD(183.2,"
183.3,CRHD HOT TEAM PATIENT LIST,4,tiny,SHIFT CHANGE HANDOFF TOOL,prefix,high,"^CRHD(183.3,"
183.4,CRHD TEAM CONTACT LIST,4,tiny,SHIFT CHANGE HANDOFF TOOL,prefix,high,"^CRHD(183.4,"
217.0,NURQ QI SUMMARY,4,tiny,NURSING QA,direct,high,"^NURQ(217,"
217.1,NURQ STANDARDS OF CARE/PRACTICE,4,tiny,NURSING QA,direct,high,"^NURQ(217.1,"
217.2,NURQ RATIONALE,4,tiny,NURSING QA,direct,high,"^NURQ(217.2,"
217.3,NURQ FREQUENCY,4,tiny,NURSING QA,direct,high,"^NURQ(217.3,"
351.6,TRANSFER PRICING PATIENT,4,tiny,INTEGRATED BILLING,prefix,med,"^IBAT(351.6,"
351.61,TRANSFER PRICING TRANSACTIONS,4,tiny,INTEGRATED BILLING,prefix,med,"^IBAT(351.61,"
351.62,TRANSFER PRICING FIELD DEFINITION,4,tiny,INTEGRATED BILLING,prefix,med,"^IBAT(351.62,"
351.67,TRANSFER PRICING INPT PROSTHETIC ITEMS,4,tiny,INTEGRATED BILLING,prefix,med,"^IBAT(351.67,"
390.01,MHV SOCIALIZATION,4,tiny,REGISTRATION,prefix,med,"^DGMHV(390.01,"
390.02,MHV SOCIALIZATION ACTIONS,4,tiny,REGISTRATION,prefix,med,"^DGMHV(390.02,"
390.03,MHV DECLINED REASONS,4,tiny,REGISTRATION,prefix,med,"^DGMHV(390.03,"
390.04,MHV ACTION SELECTION,4,tiny,REGISTRATION,prefix,med,"^DGMHV(390.04,"
408.21,INDIVIDUAL ANNUAL INCOME,4,tiny,REGISTRATION,direct,high,"^DGMT(408.21,"
408.22,INCOME RELATION,4,tiny,REGISTRATION,direct,high,"^DGMT(408.22,"
408.31,ANNUAL MEANS TEST,4,tiny,REGISTRATION,direct,high,"^DGMT(408.31,"
408.41,MEANS TEST CHANGES,4,tiny,REGISTRATION,direct,high,"^DGMT(408.41,"
414.02,DYNAMED IFCAP INTERFACE AUDIT,4,tiny,IFCAP,prefix,med,"^PRCV(414.02,"
414.03,COTS INVENTORY SUBSCRIPTION CONTROL,4,tiny,IFCAP,prefix,med,"^PRCV(414.03,"
414.04,RECORD CHECKSUM,4,tiny,IFCAP,prefix,med,"^PRCV(414.04,"
414.06,IFCAP/ECMS TRANSACTION,4,tiny,IFCAP,prefix,med,"^PRCV(414.06,"
414.07,IFCAP/ECMS EVENT TYPE,4,tiny,IFCAP,prefix,med,"^PRCV(414.07,"
663.2,ACTIVITIES NEW/REPAIR WORKSHEET TOTALS,4,tiny,PROSTHETICS,direct,high,"^RMPRA(663.2,"
663.3,PROSTHETIC DISABILITY WORKSHEET,4,tiny,PROSTHETICS,direct,high,"^RMPRA(663.3,"
663.4,PROSTHETIC APPOINTMENT WORKSHEET,4,tiny,PROSTHETICS,direct,high,"^RMPRA(663.4,"
664.4,PROS LABORATORY/RESTORATIONS WORKSHEET,4,tiny,PROSTHETICS,direct,high,"^RMPRA(664.4,"
702.0,CP TRANSACTION,4,tiny,CLINICAL PROCEDURES,prefix,med,"^MDD(702,"
